,price,bedrooms,bathrooms,sqft_living,sqft_lot,waterfront,view,condition,grade,yr_built,zipcode,lat,long,sqft_living15,sqft_lot15,basement,renovated,distance_from_bellevue,floor_1_5,floor_2_0,floor_2_5,floor_3_0,floor_3_5
0,221900.0,3,1.0,1180,5650,0.0,0.0,3,7,1955,98178,47.5112,-122.257,1340,5650,0,0,7.6227860195436055,0,0,0,0,0
1,538000.0,3,2.5,2570,7242,0.0,0.0,3,7,1951,98125,47.721,-122.319,1690,7639,1,1,9.041881842429145,0,1,0,0,0
2,180000.0,2,1.0,770,10000,0.0,0.0,3,6,1933,98028,47.7379,-122.233,2720,8062,0,0,8.561144732081237,0,0,0,0,0
3,604000.0,4,3.0,1960,5000,0.0,0.0,5,7,1965,98136,47.5208,-122.393,1360,5000,1,0,10.979730087958123,0,0,0,0,0
4,510000.0,3,2.0,1680,8080,0.0,0.0,3,8,1987,98074,47.6168,-122.045,1800,7503,0,0,7.402273389165365,0,0,0,0,0
6,257500.0,3,2.5,1715,6819,0.0,0.0,3,7,1995,98003,47.3097,-122.327,2238,6819,0,0,21.900345611669803,0,1,0,0,0
7,291850.0,3,1.5,1060,9711,0.0,0.0,3,7,1963,98198,47.4095,-122.315,1650,9711,0,0,15.151097195027695,0,0,0,0,0
8,229500.0,3,1.0,1780,7470,0.0,0.0,3,7,1960,98146,47.5123,-122.337,1780,8113,1,0,9.454503503683215,0,0,0,0,0
9,323000.0,3,2.5,1890,6560,0.0,0.0,3,7,2003,98038,47.3684,-122.031,2390,7570,0,0,18.88853093040576,0,1,0,0,0
10,662500.0,3,2.5,3560,9796,0.0,0.0,3,8,1965,98007,47.6007,-122.145,2210,8925,1,0,2.9301612660713805,0,0,0,0,0
11,468000.0,2,1.0,1160,6000,0.0,0.0,4,7,1942,98115,47.69,-122.292,1330,6000,1,0,6.57773686936762,0,0,0,0,0
12,310000.0,3,1.0,1430,19901,0.0,0.0,4,7,1927,98028,47.7558,-122.229,1780,12697,0,0,9.760316598183595,1,0,0,0,0
13,400000.0,3,2.0,1370,9680,0.0,0.0,4,7,1977,98074,47.6127,-122.045,1370,10208,0,0,7.404678516281454,0,0,0,0,0
