,Unnamed: 0,price,bedrooms,bathrooms,sqft_living,sqft_lot,waterfront,condition,grade,sqft_above,lat,long,basement,renovated,floor_1.5,floor_2.0,floor_2.5,floor_3.0,floor_3.5
0,0,221900.0,3.0,1.0,1180,5650,0.0,3,7,1180,47.5112,-122.257,0,0,0,0,0,0,0
1,1,538000.0,3.0,2.5,2570,7242,0.0,3,7,2170,47.721,-122.319,1,1,0,1,0,0,0
2,2,180000.0,2.0,1.0,770,10000,0.0,3,6,770,47.7379,-122.233,0,0,0,0,0,0,0
3,3,604000.0,4.0,3.0,1960,5000,0.0,5,7,1050,47.5208,-122.393,1,0,0,0,0,0,0
4,4,510000.0,3.0,2.0,1680,8080,0.0,3,8,1680,47.6168,-122.045,0,0,0,0,0,0,0
6,6,257500.0,3.0,2.5,1715,6819,0.0,3,7,1715,47.3097,-122.327,0,0,0,1,0,0,0
7,7,291850.0,3.0,1.5,1060,9711,0.0,3,7,1060,47.4095,-122.315,0,0,0,0,0,0,0
8,8,229500.0,3.0,1.0,1780,7470,0.0,3,7,1050,47.5123,-122.337,1,0,0,0,0,0,0
9,9,323000.0,3.0,2.5,1890,6560,0.0,3,7,1890,47.3684,-122.031,0,0,0,1,0,0,0
10,10,662500.0,3.0,2.5,3560,9796,0.0,3,8,1860,47.6007,-122.145,1,0,0,0,0,0,0
11,11,468000.0,2.0,1.0,1160,6000,0.0,4,7,860,47.69,-122.292,1,0,0,0,0,0,0
13,13,400000.0,3.0,2.0,1370,9680,0.0,4,7,1370,47.6127,-122.045,0,0,0,0,0,0,0
14,14,530000.0,5.0,2.0,1810,4850,0.0,3,7,1810,47.67,-122.394,0,0,1,0,0,0,0
15,15,650000.0,4.0,3.0,2950,5000,0.0,3,9,1980,47.5714,-122.375,1,0,0,1,0,0,0
16,16,395000.0,3.0,2.0,1890,14040,0.0,3,7,1890,47.7277,-121.962,0,0,0,1,0,0,0
17,17,485000.0,4.0,1.0,1600,4300,0.0,4,7,1600,47.6648,-122.343,0,0,1,0,0,0,0
18,18,189000.0,2.0,1.0,1200,9850,0.0,4,7,1200,47.3089,-122.21,0,0,0,0,0,0,0
19,19,230000.0,3.0,1.0,1250,9774,0.0,4,7,1250,47.3343,-122.306,0,0,0,0,0,0,0
20,20,385000.0,4.0,2.0,1620,4980,0.0,4,7,860,47.7025,-122.341,1,0,0,0,0,0,0
22,22,285000.0,5.0,2.5,2270,6300,0.0,3,8,2270,47.3266,-122.169,0,0,0,1,0,0,0
23,24,329000.0,3.0,2.5,2450,6500,0.0,4,8,2450,47.3739,-122.172,0,0,0,1,0,0,0
24,25,233000.0,3.0,2.0,1710,4697,0.0,5,6,1710,47.3048,-122.218,0,0,1,0,0,0,0
25,26,937000.0,3.0,2.0,2450,2691,0.0,3,8,1750,47.6386,-122.36,1,0,0,1,0,0,0
26,27,667000.0,3.0,1.0,1400,1581,0.0,5,8,1400,47.6221,-122.314,0,0,1,0,0,0,0
27,28,438000.0,3.0,2.0,1520,6380,0.0,3,7,790,47.695,-122.304,1,0,0,0,0,0,0
28,29,719000.0,4.0,2.5,2570,7173,0.0,3,8,2570,47.7073,-122.11,0,0,0,1,0,0,0
29,30,580500.0,3.0,2.5,2320,3980,0.0,3,8,2320,47.5391,-122.07,0,0,0,1,0,0,0
30,31,280000.0,2.0,1.5,1190,1265,0.0,3,7,1190,47.7274,-122.357,0,0,0,0,0,1,0
31,32,687500.0,4.0,2.0,2330,5000,0.0,4,7,1510,47.6823,-122.368,1,0,1,0,0,0,0
32,33,535000.0,3.0,1.0,1090,3000,0.0,4,8,1090,47.6889,-122.375,0,0,1,0,0,0,0
33,34,322500.0,4.0,3.0,2060,6659,0.0,3,7,1280,47.4276,-122.157,1,0,0,0,0,0,0
34,35,696000.0,3.0,2.5,2300,3060,0.0,3,8,1510,47.6827,-122.31,1,1,1,0,0,0,0
36,37,640000.0,4.0,2.0,2360,6000,0.0,4,8,2360,47.6702,-122.362,0,0,0,1,0,0,0
37,38,240000.0,4.0,1.0,1220,8075,0.0,2,7,890,47.3341,-122.282,1,0,0,0,0,0,0
38,39,605000.0,4.0,2.5,2620,7553,0.0,3,8,2620,47.5301,-122.18,0,0,0,1,0,0,0
41,43,685000.0,3.0,1.0,1570,2280,0.0,3,7,1570,47.6413,-122.364,0,0,0,1,0,0,0
42,44,309000.0,3.0,1.0,1280,9656,0.0,4,6,920,47.4485,-122.175,1,0,0,0,0,0,0
43,45,488000.0,3.0,2.5,3160,13603,0.0,3,8,3160,47.7443,-121.977,0,0,0,1,0,0,0
44,46,210490.0,3.0,1.0,990,8528,0.0,3,6,990,47.3066,-122.371,0,0,0,0,0,0,0
45,47,785000.0,4.0,2.5,2290,13416,0.0,4,9,2290,47.6194,-122.151,0,0,0,1,0,0,0
46,48,450000.0,3.0,2.0,1250,5963,0.0,4,7,1250,47.6796,-122.301,0,0,0,0,0,0,0
48,50,228000.0,3.0,1.0,1190,9199,0.0,3,7,1190,47.4258,-122.322,0,0,0,0,0,0,0
49,51,345000.0,5.0,2.5,3150,9134,0.0,4,8,1640,47.4934,-122.189,1,0,0,0,0,0,0
50,52,600000.0,3.0,2.0,1410,4080,0.0,4,7,1000,47.6808,-122.384,1,0,0,0,0,0,0
51,53,585000.0,2.0,2.0,1980,8550,0.0,3,7,990,47.6989,-122.369,1,0,0,0,0,0,0
52,54,920000.0,5.0,2.5,2730,6000,0.0,3,8,2130,47.6571,-122.281,1,0,1,0,0,0,0
53,55,885000.0,4.0,2.5,2830,5000,0.0,3,9,2830,47.6597,-122.29,0,0,0,1,0,0,0
54,56,292500.0,4.0,2.5,2250,4495,0.0,3,7,2250,47.3663,-122.114,0,0,0,1,0,0,0
55,57,301000.0,3.0,2.5,2420,4750,0.0,3,8,2420,47.3663,-122.122,0,0,0,1,0,0,0
56,58,951000.0,5.0,3.5,3250,14342,0.0,4,8,3250,47.588,-122.116,0,0,0,1,0,0,0
57,59,430000.0,4.0,3.0,1850,9976,0.0,3,8,1850,47.5059,-122.149,0,0,0,1,0,0,0
59,61,289000.0,3.0,2.0,1260,8400,0.0,3,7,1260,47.4366,-122.335,0,0,0,0,0,0,0
60,62,505000.0,3.0,2.0,2519,8690,0.0,5,8,2519,47.4428,-122.344,0,0,0,1,0,0,0
61,63,549000.0,3.0,2.0,1540,1044,0.0,3,8,1540,47.6765,-122.32,0,0,0,0,0,1,0
62,64,425000.0,3.0,2.5,1660,6000,0.0,3,7,1110,47.6113,-122.297,1,0,0,0,0,0,0
63,65,317625.0,3.0,3.0,2770,3809,0.0,5,7,1770,47.5747,-122.304,1,0,1,0,0,0,0
65,67,287000.0,4.0,2.5,2240,4648,0.0,3,7,2240,47.3378,-122.257,0,0,0,1,0,0,0
66,68,204000.0,3.0,1.0,1000,12070,0.0,4,7,1000,47.3621,-122.11,0,0,0,0,0,0,0
